Year of Calendar Year,Statewide,Alameda,Alpine,Amador,Butte,Calaveras,Colusa,Contra Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Inyo,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Modoc,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Sierra,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba
2014,"2,063,163","63,775",112,"1,754","15,499","2,755",715,"35,192","2,527","6,841","95,691","1,499","10,376","15,857","1,062","61,676","10,171","5,504","1,542","581,170","11,524","6,177","1,027","7,422","24,110",462,527,"22,112","3,503","4,165","116,779","9,218",970,"124,200","101,078","2,714","172,181","134,214","32,890","50,060","9,576","16,010","15,992","54,882","12,501","12,565",167,"3,191","22,135","19,298","42,554","5,575","4,862",964,"50,866","2,998","35,063","8,934","5,977"
2015,"2,133,656","61,906",101,"1,782","16,561","2,903",664,"35,594","2,519","7,302","100,575","1,510","12,048","17,258","1,056","67,625","10,638","6,334","1,544","585,411","12,093","6,440","1,109","7,060","25,129",461,497,"23,103","3,632","4,272","122,874","9,394","1,095","129,097","104,581","2,723","180,279","142,648","33,997","52,985","10,032","16,188","17,377","55,269","13,845","13,014",172,"3,277","22,904","20,042","43,235","5,694","4,771","1,020","52,964","3,135","37,383","10,288","6,251"
2016,"2,097,658","60,502",92,"1,760","16,975","2,812",627,"34,040","2,606","7,175","101,381","1,555","12,517","17,508","1,056","70,633","10,820","6,611","1,569","558,922","12,018","6,246","1,090","6,709","24,517",516,453,"22,713","3,547","4,347","123,182","9,286","1,160","129,010","102,439","2,544","178,495","142,006","34,877","51,667","9,958","15,148","18,573","52,730","14,633","12,943",161,"3,213","22,398","18,932","41,902","5,727","4,568","1,008","52,436","3,139","37,376","10,645","6,187"
2017,"1,999,190","57,278",81,"1,661","16,660","2,797",687,"31,521","2,570","6,796","96,943","1,501","12,115","17,267","1,015","68,976","10,632","6,419","1,564","539,485","11,498","5,969","1,017","6,287","23,507",552,414,"21,141","3,192","4,119","116,211","8,726","1,141","122,659","98,310","2,226","166,402","134,122","33,959","48,347","9,538","13,596","18,752","47,340","14,472","12,401",161,"3,096","21,073","17,282","39,581","5,495","4,272",971,"51,260","2,840","35,322","9,995","5,979"
2018,"1,947,113","54,814",75,"1,522","16,872","2,733",658,"30,456","2,524","6,400","92,759","1,491","11,902","16,894","1,021","67,144","10,523","6,280","1,485","549,893","11,086","5,975","1,023","6,126","22,738",598,387,"19,334","2,904","4,144","109,025","8,351","1,142","115,958","94,665","2,114","156,113","132,419","32,750","45,416","9,173","12,310","19,928","42,596","14,271","12,106",141,"3,153","20,191","16,160","36,855","5,134","4,155",972,"49,909","2,692","33,673","9,951","6,034"
2019,"1,887,517","54,458",69,"1,353","15,272","2,527",627,"29,104","2,525","6,033","90,233","1,454","12,136","16,107",889,"63,779","10,066","6,378","1,471","564,990","10,189","5,265","1,041","5,842","21,794",631,329,"16,672","2,655","4,266","96,853","7,640","1,123","107,742","93,545","1,985","143,134","128,314","36,121","41,527","8,651","10,857","19,536","41,059","13,281","12,476",131,"3,223","18,798","13,696","33,626","4,775","4,321",920,"46,371","2,655","30,777","10,127","6,101"
2020,"2,412,909","78,264",72,"1,531","17,809","2,933",874,"40,142","3,156","7,333","99,409","1,687","14,443","18,398","1,093","75,639","11,745","7,663","1,797","764,063","12,356","8,006","1,406","7,113","25,090",764,492,"20,241","3,817","5,184","127,311","9,398","1,334","128,893","115,705","2,547","161,633","181,037","55,150","48,723","10,699","15,115","24,803","57,415","16,799","14,471",170,"4,121","24,623","18,841","38,409","5,681","5,278","1,090","50,978","3,211","36,707","13,014","7,232"
2021,"2,482,841","85,592",64,"1,568","17,700","2,861","1,040","45,986","3,147","7,058","99,171","1,675","13,814","18,233","1,070","73,830","11,382","7,686","1,788","792,648","12,481","8,473","1,464","7,354","24,711",766,458,"20,047","4,160","5,213","141,481","10,339","1,333","124,310","117,507","2,722","146,202","203,567","62,777","45,739","11,448","17,322","25,874","64,781","17,012","14,004",174,"4,325","26,297","19,107","36,443","5,750","5,276","1,254","48,538","3,214","35,732","13,149","7,397"
2022,"2,795,730","94,911",70,"2,066","21,460","3,230","1,218","52,253","3,534","7,797","110,838","2,018","16,141","21,242","1,234","81,485","12,924","8,943","2,101","877,960","14,238","9,130","1,634","9,084","27,603",959,410,"22,757","4,703","5,667","165,684","12,507","1,449","147,270","129,764","3,010","165,787","220,691","69,758","56,357","13,892","18,995","30,087","73,901","18,630","15,946",209,"4,904","29,232","22,342","40,602","6,464","6,066","1,560","56,524","3,805","38,858","14,965","8,865"
2023,"3,049,919","101,885",93,"2,496","24,966","3,651","1,447","56,184","3,825","8,763","116,551","2,243","18,516","23,888","1,245","94,187","14,481","10,022","2,361","966,548","15,974","10,062","1,822","10,167","30,875","1,117",443,"26,922","5,432","7,078","176,760","13,657","1,475","171,304","136,115","3,415","188,159","222,213","75,483","61,842","16,017","19,927","31,396","78,109","19,008","18,008",231,"5,413","30,278","23,336","47,370","6,870","6,769","1,819","59,427","4,216","42,524","15,614","9,923"
